comparison_type,model_source,layer,emotion_or_group,estimate_name,cosine,explained_fraction,ci_low,ci_high,p_value,q_value,max_stat_p_value,null_p95,reliability,pca_status,effective_rank,condition_number,gate_passed,confirmatory,notes,stability
cross_model_stability,cross_model,27,content,reliability,,,,,,,,,0.9904656320874983,raw,,,True,True,aligned versus misaligned full emotion direction,0.9904656320874983
cross_model_stability,cross_model,28,content,reliability,,,,,,,,,0.9904143638421793,raw,,,True,True,aligned versus misaligned full emotion direction,0.9904143638421793
cross_model_stability,cross_model,29,content,reliability,,,,,,,,,0.9906054844687673,raw,,,True,True,aligned versus misaligned full emotion direction,0.9906054844687673
cross_model_stability,cross_model,30,content,reliability,,,,,,,,,0.9911825238703643,raw,,,True,True,aligned versus misaligned full emotion direction,0.9911825238703643
cross_model_stability,cross_model,31,content,reliability,,,,,,,,,0.9923278310905033,raw,,,True,True,aligned versus misaligned full emotion direction,0.9923278310905033
cross_model_stability,cross_model,32,content,reliability,,,,,,,,,0.9923387122005964,raw,,,True,True,aligned versus misaligned full emotion direction,0.9923387122005964
cross_model_stability,cross_model,33,content,reliability,,,,,,,,,0.9927982969054896,raw,,,True,True,aligned versus misaligned full emotion direction,0.9927982969054896
cross_model_stability,cross_model,34,content,reliability,,,,,,,,,0.9936350813223024,raw,,,True,True,aligned versus misaligned full emotion direction,0.9936350813223024
cross_model_stability,cross_model,35,content,reliability,,,,,,,,,0.9940343667699242,raw,,,True,True,aligned versus misaligned full emotion direction,0.9940343667699242
cross_model_stability,cross_model,36,content,reliability,,,,,,,,,0.9928889402906099,raw,,,True,True,aligned versus misaligned full emotion direction,0.9928889402906099
cross_model_stability,cross_model,37,content,reliability,,,,,,,,,0.9922541624722586,raw,,,True,True,aligned versus misaligned full emotion direction,0.9922541624722586
cross_model_stability,cross_model,38,content,reliability,,,,,,,,,0.9922844962691043,raw,,,True,True,aligned versus misaligned full emotion direction,0.9922844962691043
cross_model_stability,cross_model,39,content,reliability,,,,,,,,,0.9921014303357287,raw,,,True,True,aligned versus misaligned full emotion direction,0.9921014303357287
