comparison_type,model_source,layer,emotion_or_group,estimate_name,cosine,explained_fraction,ci_low,ci_high,p_value,q_value,max_stat_p_value,null_p95,reliability,pca_status,effective_rank,condition_number,gate_passed,confirmatory,notes
centroid,aligned,0,anger_fury,cosine,0.11536533385515213,,0.08617235533893108,0.12517972849309444,0.024875621890547265,0.039472061181694836,0.004975124378109453,0.09823510162532323,0.6185074600690037,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious;family_max_stat_p=0.11940298507462686"
centroid,aligned,1,anger_fury,cosine,0.10876519978046417,,0.07661403212696316,0.1274174775928259,0.03980099502487562,0.05789235639981909,0.004975124378109453,0.10122857503592966,0.6261258321890926,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious;family_max_stat_p=0.11940298507462686"
centroid,aligned,2,anger_fury,cosine,0.11231236904859543,,0.07603708673268557,0.13679352812469006,0.04477611940298507,0.06368159203980099,0.004975124378109453,0.09529508836567399,0.6314286135058319,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious;family_max_stat_p=0.11940298507462686"
centroid,aligned,3,anger_fury,cosine,0.09369630366563797,,0.052792803943157204,0.12971337698400023,0.07462686567164178,0.10090393104898045,0.004975124378109453,0.11205269768834095,0.6441306735304453,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious;family_max_stat_p=0.11940298507462686"
centroid,aligned,4,anger_fury,cosine,0.13752242922782898,,0.09253196604549885,0.1724857956171036,0.029850746268656716,0.04659628685839097,0.004975124378109453,0.10233268477022646,0.644685171358677,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious;family_max_stat_p=0.11940298507462686"
centroid,aligned,5,anger_fury,cosine,0.16670900583267212,,0.12008259296417237,0.19835253581404685,0.014925373134328358,0.0255863539445629,0.004975124378109453,0.10818935185670851,0.6493206867958601,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious;family_max_stat_p=0.11940298507462686"
centroid,aligned,6,anger_fury,cosine,0.1813667118549347,,0.14160904958844187,0.20433268174529076,0.014925373134328358,0.0255863539445629,0.004975124378109453,0.09945203959941862,0.6802786187558031,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious;family_max_stat_p=0.11940298507462686"
centroid,aligned,7,anger_fury,cosine,0.18496784567832947,,0.14778383485972882,0.20778123997151854,0.004975124378109453,0.016190235264356184,0.004975124378109453,0.09910784810781474,0.712308916685229,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious;family_max_stat_p=0.11940298507462686"
centroid,aligned,8,anger_fury,cosine,0.20781460404396057,,0.17365005351603033,0.2249145768582821,0.004975124378109453,0.016190235264356184,0.004975124378109453,0.09804943092167365,0.7232690302080684,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious;family_max_stat_p=0.11940298507462686"
centroid,aligned,9,anger_fury,cosine,0.184703528881073,,0.15549502931535245,0.19881326667964458,0.004975124378109453,0.016190235264356184,0.004975124378109453,0.09770262129604801,0.7338347282024635,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious;family_max_stat_p=0.11940298507462686"
centroid,aligned,10,anger_fury,cosine,0.19137707352638245,,0.1672833189368248,0.19933191016316415,0.009950248756218905,0.020993931441692634,0.004975124378109453,0.1084099680185318,0.7701422363755133,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious;family_max_stat_p=0.11940298507462686"
centroid,aligned,11,anger_fury,cosine,0.19127598404884338,,0.16452958025038242,0.20197955891489983,0.009950248756218905,0.020993931441692634,0.004975124378109453,0.11544042155146599,0.7516409544550455,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious;family_max_stat_p=0.11940298507462686"
centroid,aligned,12,anger_fury,cosine,0.20800651609897614,,0.1776167679578066,0.2208587031811476,0.009950248756218905,0.020993931441692634,0.004975124378109453,0.12718842700123784,0.7430566712538469,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious;family_max_stat_p=0.11940298507462686"
centroid,aligned,13,anger_fury,cosine,0.21695101261138916,,0.1881722692400217,0.22922675795853137,0.009950248756218905,0.020993931441692634,0.004975124378109453,0.12469316422939292,0.768832150254591,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious;family_max_stat_p=0.11940298507462686"
centroid,aligned,14,anger_fury,cosine,0.217958003282547,,0.1907508883625269,0.22772907167673112,0.009950248756218905,0.020993931441692634,0.004975124378109453,0.12917963638901708,0.7603792181192652,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious;family_max_stat_p=0.11940298507462686"
centroid,aligned,15,anger_fury,cosine,0.19872762262821198,,0.17785235419869422,0.20799380876123905,0.009950248756218905,0.020993931441692634,0.004975124378109453,0.11364394724369048,0.7688909953540369,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious;family_max_stat_p=0.11940298507462686"
centroid,aligned,16,anger_fury,cosine,0.23311497271060944,,0.20098763331770897,0.24656937010586263,0.009950248756218905,0.020993931441692634,0.004975124378109453,0.14043883606791494,0.7762994196392741,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious;family_max_stat_p=0.11940298507462686"
centroid,aligned,17,anger_fury,cosine,0.2378806173801422,,0.20276746042072774,0.25209633111953733,0.009950248756218905,0.020993931441692634,0.004975124378109453,0.14538560286164284,0.7707877207817407,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious;family_max_stat_p=0.11940298507462686"
